lat,lon,month,solar_kwh_m2_day,wind_ms,temp_c
54.0,-150.0,11,1.839,4.329,-3.09
54.0,-150.0,12,0.05,5.153,-8.49
54.0,-135.0,1,1.541,5.801,-10.57
54.0,-135.0,2,2.562,5.14,-8.65
54.0,-135.0,3,4.642,4.275,-3.41
54.0,-135.0,4,6.442,3.792,6.53
54.0,-135.0,5,7.751,3.409,15.56
54.0,-135.0,6,7.571,3.466,20.75
54.0,-135.0,7,7.887,3.025,22.61
54.0,-135.0,8,6.426,2.742,21.45
54.0,-135.0,9,4.416,4.128,13.82
54.0,-135.0,10,3.116,4.239,6.79
54.0,-135.0,11,1.724,4.604,-1.23
54.0,-135.0,12,0.028,4.94,-7.19
54.0,-120.0,1,1.441,4.951,-10.75
54.0,-120.0,2,2.45,5.809,-6.5
54.0,-120.0,3,4.707,5.027,-2.52
54.0,-120.0,4,6.858,4.259,7.31
54.0,-120.0,5,7.556,3.301,16.69
54.0,-120.0,6,7.568,3.461,21.21
54.0,-120.0,7,7.952,2.726,24.3
54.0,-120.0,8,6.043,3.067,22.5
54.0,-120.0,9,4.151,3.516,16.88
54.0,-120.0,10,2.864,4.599,7.21
54.0,-120.0,11,1.822,4.99,-1.02
54.0,-120.0,12,0.0,5.228,-7.2
54.0,-105.0,1,1.459,5.114,-8.72
54.0,-105.0,2,2.731,4.219,-6.25
54.0,-105.0,3,4.679,4.622,-3.41
54.0,-105.0,4,6.81,3.774,8.11
54.0,-105.0,5,7.666,3.065,18.24
54.0,-105.0,6,7.679,2.917,23.6
54.0,-105.0,7,7.76,3.49,24.99
54.0,-105.0,8,6.389,3.193,21.93
54.0,-105.0,9,4.234,3.265,18.51
54.0,-105.0,10,3.185,3.88,8.39
54.0,-105.0,11,1.668,4.391,-1.17
54.0,-105.0,12,0.011,4.477,-8.03
54.0,-90.0,1,1.47,5.207,-11.04
54.0,-90.0,2,2.561,6.023,-7.76
54.0,-90.0,3,4.543,4.298,-0.23
54.0,-90.0,4,6.609,4.011,8.5
54.0,-90.0,5,7.906,3.72,15.85
54.0,-90.0,6,7.473,3.193,23.63
54.0,-90.0,7,7.797,3.013,25.58
54.0,-90.0,8,6.359,3.386,23.71
54.0,-90.0,9,4.286,3.737,17.85
54.0,-90.0,10,2.956,4.964,8.39
54.0,-90.0,11,1.589,4.257,0.3
54.0,-90.0,12,0.026,5.494,-5.32
54.0,-75.0,1,1.536,5.577,-10.33
54.0,-75.0,2,2.639,5.318,-8.26
54.0,-75.0,3,4.56,4.734,-1.95
54.0,-75.0,4,6.524,4.657,7.79
54.0,-75.0,5,7.825,3.947,16.95
54.0,-75.0,6,7.591,3.482,22.57
54.0,-75.0,7,7.766,3.208,26.78
54.0,-75.0,8,6.221,3.602,22.7
54.0,-75.0,9,4.169,3.884,17.11
54.0,-75.0,10,2.86,4.685,8.59
54.0,-75.0,11,1.598,5.247,0.59
54.0,-75.0,12,0.0,5.475,-5.88
54.0,-60.0,1,1.512,5.874,-11.28
54.0,-60.0,2,2.727,5.246,-8.38
54.0,-60.0,3,4.552,4.653,-2.38
54.0,-60.0,4,6.51,3.659,6.56
54.0,-60.0,5,7.822,4.478,13.82
54.0,-60.0,6,7.485,3.478,21.03
54.0,-60.0,7,7.843,3.308,23.34
54.0,-60.0,8,6.421,3.72,19.38
54.0,-60.0,9,4.448,4.691,14.96
54.0,-60.0,10,2.901,4.222,4.61
54.0,-60.0,11,1.829,5.156,-1.82
54.0,-60.0,12,0.0,5.094,-7.63
54.0,-45.0,1,1.654,5.902,-8.69
54.0,-45.0,2,2.74,4.993,-9.9
54.0,-45.0,3,4.464,4.717,-4.64
54.0,-45.0,4,6.894,4.806,4.72
54.0,-45.0,5,7.76,4.461,12.27
54.0,-45.0,6,7.54,3.652,18.82
54.0,-45.0,7,7.788,2.881,19.03
54.0,-45.0,8,6.27,3.271,18.35
54.0,-45.0,9,4.333,3.369,12.49
54.0,-45.0,10,2.883,4.809,4.85
54.0,-45.0,11,1.611,5.581,-3.39
54.0,-45.0,12,0.093,5.462,-9.5
54.0,-30.0,1,1.44,5.938,-11.84
54.0,-30.0,2,2.745,6.009,-10.1
54.0,-30.0,3,4.547,5.625,-3.78
54.0,-30.0,4,6.59,5.31,1.36
54.0,-30.0,5,7.828,3.97,9.2
54.0,-30.0,6,7.636,3.638,16.3
54.0,-30.0,7,7.998,3.391,17.61
54.0,-30.0,8,6.327,3.991,16.97
54.0,-30.0,9,4.447,4.391,11.11
54.0,-30.0,10,2.962,4.808,3.23
54.0,-30.0,11,1.775,5.514,-3.8
54.0,-30.0,12,0.005,5.746,-11.04
54.0,-15.0,1,1.512,6.725,-12.51
54.0,-15.0,2,2.607,6.179,-10.24
54.0,-15.0,3,4.548,5.271,-2.76
54.0,-15.0,4,6.726,4.73,1.72
54.0,-15.0,5,7.827,4.415,10.97
54.0,-15.0,6,7.695,3.784,15.6
54.0,-15.0,7,8.154,3.501,18.13
54.0,-15.0,8,6.218,4.228,14.75
54.0,-15.0,9,4.294,4.281,10.25
54.0,-15.0,10,3.081,4.476,1.67
54.0,-15.0,11,1.776,5.519,-4.49
54.0,-15.0,12,0.0,5.545,-9.99
54.0,0.0,1,1.453,6.472,-13.57
54.0,0.0,2,2.746,6.306,-9.97
54.0,0.0,3,4.874,5.208,-6.69
54.0,0.0,4,6.613,4.539,1.8
54.0,0.0,5,7.761,4.484,9.07
54.0,0.0,6,7.55,4.141,16.36
54.0,0.0,7,7.902,4.559,17.55
54.0,0.0,8,6.329,3.613,14.01
54.0,0.0,9,4.129,4.324,10.3
54.0,0.0,10,2.937,5.109,4.66
54.0,0.0,11,1.836,5.117,-5.92
54.0,0.0,12,0.004,5.219,-10.4
54.0,15.0,1,1.493,5.981,-12.07
54.0,15.0,2,2.572,5.847,-10.53
54.0,15.0,3,4.547,5.885,-3.67
54.0,15.0,4,6.652,5.11,3.09
54.0,15.0,5,7.871,4.683,10.92
54.0,15.0,6,7.661,4.626,18.37
54.0,15.0,7,7.726,3.86,19.18
54.0,15.0,8,6.289,3.484,16.43
54.0,15.0,9,4.349,4.436,10.59
54.0,15.0,10,2.898,5.038,2.44
54.0,15.0,11,1.767,6.271,-3.69
54.0,15.0,12,0.033,5.532,-9.51
54.0,30.0,1,1.361,5.747,-9.66
54.0,30.0,2,2.544,5.891,-9.11
54.0,30.0,3,4.428,5.95,-3.45
54.0,30.0,4,6.59,5.3,3.56
54.0,30.0,5,7.856,3.866,12.42
54.0,30.0,6,7.454,4.425,18.92
54.0,30.0,7,7.705,4.106,21.06
54.0,30.0,8,6.015,3.604,20.01
54.0,30.0,9,4.377,4.8,13.29
54.0,30.0,10,3.059,4.695,2.57
54.0,30.0,11,1.766,5.687,-3.34
54.0,30.0,12,0.095,5.848,-8.46
54.0,45.0,1,1.294,6.202,-10.77
54.0,45.0,2,2.539,6.227,-7.43
54.0,45.0,3,4.551,5.059,-4.97
54.0,45.0,4,6.913,4.262,5.95
54.0,45.0,5,7.945,4.793,14.91
54.0,45.0,6,7.577,4.131,21.51
54.0,45.0,7,7.913,4.196,25.58
54.0,45.0,8,6.112,4.403,21.5
54.0,45.0,9,4.482,4.814,14.47
54.0,45.0,10,3.104,4.694,9.07
54.0,45.0,11,1.688,5.335,-2.22
54.0,45.0,12,0.0,5.757,-10.82
54.0,60.0,1,1.559,6.694,-10.04
54.0,60.0,2,2.671,5.961,-5.94
54.0,60.0,3,4.635,5.945,-0.61
54.0,60.0,4,6.694,5.045,8.26
54.0,60.0,5,7.763,5.148,16.83
54.0,60.0,6,7.511,4.404,23.19
54.0,60.0,7,7.966,2.982,25.1
54.0,60.0,8,6.363,4.478,20.55
54.0,60.0,9,4.358,4.051,17.43
54.0,60.0,10,2.807,4.905,8.03
54.0,60.0,11,1.69,6.435,-0.81
54.0,60.0,12,0.1,6.164,-6.18
54.0,75.0,1,1.693,5.234,-9.35
54.0,75.0,2,2.647,5.466,-5.99
54.0,75.0,3,4.515,5.929,-1.06
54.0,75.0,4,6.777,5.07,9.08
54.0,75.0,5,7.793,3.888,17.41
54.0,75.0,6,7.281,4.014,23.8
54.0,75.0,7,7.975,4.302,27.58
54.0,75.0,8,6.181,4.068,23.3
54.0,75.0,9,4.641,4.695,18.7
54.0,75.0,10,2.946,5.129,7.54
54.0,75.0,11,1.617,5.363,-0.6
54.0,75.0,12,0.191,4.952,-7.16
54.0,90.0,1,1.576,5.885,-9.94
54.0,90.0,2,2.659,5.999,-7.16
54.0,90.0,3,4.352,5.559,-0.99
54.0,90.0,4,6.613,5.004,6.68
54.0,90.0,5,7.932,3.534,17.01
54.0,90.0,6,7.628,3.925,21.81
54.0,90.0,7,7.723,3.515,24.66
54.0,90.0,8,6.279,4.023,22.82
54.0,90.0,9,4.284,4.318,18.03
54.0,90.0,10,2.909,4.193,7.42
54.0,90.0,11,1.784,4.49,-0.83
54.0,90.0,12,0.0,6.274,-7.79
54.0,105.0,1,1.311,6.162,-11.21
54.0,105.0,2,2.832,5.405,-8.22
54.0,105.0,3,4.61,4.572,-3.51
54.0,105.0,4,6.653,4.521,8.95
54.0,105.0,5,7.809,4.861,17.12
54.0,105.0,6,7.475,4.359,22.25
54.0,105.0,7,7.647,3.217,25.6
54.0,105.0,8,6.314,3.386,22.03
54.0,105.0,9,4.219,4.472,16.26
54.0,105.0,10,2.977,4.873,7.47
54.0,105.0,11,1.633,5.51,-0.45
54.0,105.0,12,0.312,5.466,-7.85
54.0,120.0,1,1.607,5.483,-9.8
54.0,120.0,2,2.621,5.233,-7.85
54.0,120.0,3,4.487,5.469,-2.22
54.0,120.0,4,6.614,3.899,4.15
54.0,120.0,5,7.646,3.966,12.98
54.0,120.0,6,7.401,3.346,19.67
54.0,120.0,7,7.777,3.702,23.92
54.0,120.0,8,6.303,3.466,19.91
54.0,120.0,9,4.377,3.702,14.88
54.0,120.0,10,2.997,4.644,3.96
54.0,120.0,11,1.841,5.756,-2.59
54.0,120.0,12,0.0,5.51,-8.17
54.0,135.0,1,1.503,5.604,-11.66
54.0,135.0,2,2.771,5.418,-8.03
54.0,135.0,3,4.634,5.285,-4.25
54.0,135.0,4,6.596,5.24,5.53
54.0,135.0,5,7.783,3.725,10.25
54.0,135.0,6,7.692,3.601,18.84
54.0,135.0,7,7.951,3.793,20.92
54.0,135.0,8,6.412,3.639,19.81
54.0,135.0,9,4.446,3.706,12.13
54.0,135.0,10,3.198,4.748,4.66
54.0,135.0,11,1.764,5.02,-4.14
54.0,135.0,12,0.172,4.82,-8.85
54.0,150.0,1,1.489,5.395,-10.53
54.0,150.0,2,2.454,5.561,-8.34
54.0,150.0,3,4.528,5.299,-4.94
54.0,150.0,4,6.622,4.56,4.32
54.0,150.0,5,7.827,3.759,11.06
54.0,150.0,6,7.669,2.85,15.71
54.0,150.0,7,7.903,3.438,19.28
54.0,150.0,8,6.35,3.693,16.26
54.0,150.0,9,4.332,3.711,10.43
54.0,150.0,10,3.235,4.545,1.44
54.0,150.0,11,1.548,4.768,-4.68
54.0,150.0,12,0.0,5.19,-9.85
54.0,165.0,1,1.263,5.889,-11.86
54.0,165.0,2,2.848,5.256,-10.3
54.0,165.0,3,4.695,5.234,-3.41
54.0,165.0,4,6.574,4.441,2.72
54.0,165.0,5,7.58,4.533,10.59
54.0,165.0,6,7.621,3.399,17.17
54.0,165.0,7,7.821,2.902,18.12
54.0,165.0,8,6.186,3.815,16.96
54.0,165.0,9,4.218,3.707,11.09
54.0,165.0,10,3.034,4.635,2.98
54.0,165.0,11,1.759,4.945,-3.68
54.0,165.0,12,0.075,5.995,-11.5
56.0,-180.0,1,1.318,4.851,-15.01
56.0,-180.0,2,2.3,5.367,-12.32
56.0,-180.0,3,4.058,4.673,-6.6
56.0,-180.0,4,6.682,4.385,0.36
56.0,-180.0,5,7.863,3.416,7.64
56.0,-180.0,6,7.497,2.895,15.28
56.0,-180.0,7,7.581,3.003,17.45
56.0,-180.0,8,6.132,3.123,12.6
56.0,-180.0,9,4.149,3.494,9.47
56.0,-180.0,10,2.942,4.075,-0.23
56.0,-180.0,11,1.675,4.67,-7.42
56.0,-180.0,12,0.0,5.779,-12.2
56.0,-165.0,1,1.163,5.405,-15.23
56.0,-165.0,2,2.281,5.228,-13.03
56.0,-165.0,3,4.425,4.708,-5.72
56.0,-165.0,4,6.486,4.069,2.01
56.0,-165.0,5,7.792,3.384,9.52
56.0,-165.0,6,7.406,3.266,17.1
56.0,-165.0,7,7.978,3.276,17.36
56.0,-165.0,8,6.466,2.657,14.6
56.0,-165.0,9,4.305,3.716,8.78
56.0,-165.0,10,2.672,3.941,1.61
56.0,-165.0,11,1.469,4.471,-6.47
56.0,-165.0,12,0.0,4.726,-13.32
56.0,-150.0,1,1.211,5.22,-14.22
56.0,-150.0,2,2.367,4.983,-12.07
56.0,-150.0,3,4.371,4.647,-4.36
56.0,-150.0,4,6.57,4.388,2.51
56.0,-150.0,5,7.909,3.089,11.8
56.0,-150.0,6,7.576,3.23,18.78
56.0,-150.0,7,7.9,2.64,19.15
56.0,-150.0,8,6.196,3.223,15.79
56.0,-150.0,9,4.305,3.262,9.39
56.0,-150.0,10,2.619,4.132,2.69
56.0,-150.0,11,1.659,4.983,-4.84
56.0,-150.0,12,0.017,4.911,-11.66
56.0,-135.0,1,1.364,5.666,-14.53
56.0,-135.0,2,2.541,5.165,-10.83
56.0,-135.0,3,4.336,4.929,-7.42
56.0,-135.0,4,6.499,4.521,4.25
56.0,-135.0,5,7.712,3.674,12.01
56.0,-135.0,6,7.529,3.378,19.75
56.0,-135.0,7,7.906,3.235,20.92
56.0,-135.0,8,6.334,3.384,17.9
56.0,-135.0,9,4.08,3.407,12.78
56.0,-135.0,10,2.722,3.831,6.14
56.0,-135.0,11,1.351,5.428,-5.86
56.0,-135.0,12,0.0,5.085,-11.07
56.0,-120.0,1,1.148,6.274,-12.89
56.0,-120.0,2,2.566,5.493,-11.06
56.0,-120.0,3,4.188,5.22,-5.32
56.0,-120.0,4,6.651,4.149,6.61
56.0,-120.0,5,7.701,3.901,15.43
56.0,-120.0,6,7.474,3.401,19.73
56.0,-120.0,7,7.91,3.437,22.59
56.0,-120.0,8,6.219,3.666,22.1
56.0,-120.0,9,4.067,3.577,13.06
56.0,-120.0,10,2.849,4.071,5.03
56.0,-120.0,11,1.272,5.153,-1.79
56.0,-120.0,12,0.092,5.468,-9.24
56.0,-105.0,1,1.232,5.328,-12.42
56.0,-105.0,2,2.715,5.167,-9.23
56.0,-105.0,3,4.344,5.454,-4.03
56.0,-105.0,4,6.433,4.75,6.73
56.0,-105.0,5,7.767,3.831,15.56
56.0,-105.0,6,7.514,3.267,21.65
56.0,-105.0,7,7.958,3.002,24.6
56.0,-105.0,8,6.117,3.661,23.33
56.0,-105.0,9,4.217,4.028,15.21
56.0,-105.0,10,2.666,4.717,5.96
56.0,-105.0,11,1.596,4.628,-4.0
56.0,-105.0,12,0.013,4.659,-8.06
56.0,-90.0,1,1.295,5.338,-13.71
56.0,-90.0,2,2.355,5.226,-10.29
56.0,-90.0,3,4.289,4.498,-3.66
56.0,-90.0,4,6.606,4.755,6.84
56.0,-90.0,5,7.536,4.147,15.6
56.0,-90.0,6,7.397,3.467,22.06
56.0,-90.0,7,8.002,2.777,26.44
56.0,-90.0,8,6.479,3.851,21.13
56.0,-90.0,9,4.267,4.083,14.31
56.0,-90.0,10,2.73,4.541,6.64
56.0,-90.0,11,1.634,4.951,-3.05
56.0,-90.0,12,0.132,5.669,-9.29
56.0,-75.0,1,1.182,5.458,-13.92
56.0,-75.0,2,2.325,5.851,-9.67
56.0,-75.0,3,4.269,5.585,-2.41
56.0,-75.0,4,6.541,5.108,4.38
56.0,-75.0,5,7.714,3.888,14.36
56.0,-75.0,6,7.414,3.825,19.38
56.0,-75.0,7,7.687,3.076,26.33
56.0,-75.0,8,6.028,4.139,21.36
56.0,-75.0,9,4.158,3.361,14.81
56.0,-75.0,10,2.661,3.893,4.12
56.0,-75.0,11,1.505,4.644,-6.08
56.0,-75.0,12,0.0,5.648,-11.28
56.0,-60.0,1,1.298,6.023,-12.82
56.0,-60.0,2,2.536,5.719,-11.37
56.0,-60.0,3,4.349,5.071,-4.82
56.0,-60.0,4,6.472,4.808,2.97
56.0,-60.0,5,7.71,3.878,11.88
56.0,-60.0,6,7.376,3.735,19.93
56.0,-60.0,7,7.677,3.364,22.11
56.0,-60.0,8,6.011,3.519,19.97
56.0,-60.0,9,4.101,4.51,12.59
56.0,-60.0,10,2.745,4.85,2.59
56.0,-60.0,11,1.433,5.21,-3.08
56.0,-60.0,12,0.0,6.293,-11.01
56.0,-45.0,1,1.451,5.507,-12.81
56.0,-45.0,2,2.509,5.795,-13.1
56.0,-45.0,3,4.135,5.077,-6.85
56.0,-45.0,4,6.62,4.86,3.04
56.0,-45.0,5,7.559,3.952,10.38
56.0,-45.0,6,7.625,4.181,18.05
56.0,-45.0,7,7.69,3.045,16.39
56.0,-45.0,8,6.35,3.548,16.47
56.0,-45.0,9,4.347,4.222,11.95
56.0,-45.0,10,2.708,4.843,2.11
56.0,-45.0,11,1.683,5.568,-5.78
56.0,-45.0,12,0.14,5.98,-13.55
56.0,-30.0,1,1.226,5.215,-17.92
56.0,-30.0,2,2.277,5.852,-12.68
56.0,-30.0,3,4.31,4.966,-5.27
56.0,-30.0,4,6.509,4.602,1.28
56.0,-30.0,5,7.725,4.803,7.56
56.0,-30.0,6,7.439,3.896,17.19
56.0,-30.0,7,7.904,3.749,17.3
56.0,-30.0,8,6.109,4.019,15.28
56.0,-30.0,9,4.056,4.096,9.04
56.0,-30.0,10,3.019,5.401,0.88
56.0,-30.0,11,1.467,4.948,-6.96
56.0,-30.0,12,0.0,6.368,-13.0
56.0,-15.0,1,1.288,6.267,-14.42
56.0,-15.0,2,2.594,6.732,-13.7
56.0,-15.0,3,4.23,5.069,-8.51
56.0,-15.0,4,6.792,4.826,1.14
56.0,-15.0,5,7.871,5.081,9.06
56.0,-15.0,6,7.335,3.828,14.01
56.0,-15.0,7,7.544,3.748,17.49
56.0,-15.0,8,6.268,3.867,16.63
56.0,-15.0,9,4.1,4.738,8.49
56.0,-15.0,10,2.675,5.313,-0.32
56.0,-15.0,11,1.536,5.064,-9.79
56.0,-15.0,12,0.18,5.629,-13.24
56.0,0.0,1,1.241,6.364,-15.71
56.0,0.0,2,2.236,6.055,-14.4
56.0,0.0,3,4.276,5.126,-7.06
56.0,0.0,4,6.555,5.177,1.54
56.0,0.0,5,7.738,4.164,8.44
56.0,0.0,6,7.512,4.012,15.72
56.0,0.0,7,7.674,3.977,16.13
56.0,0.0,8,6.135,4.237,14.94
56.0,0.0,9,4.257,4.805,9.96
56.0,0.0,10,2.631,4.98,-0.45
56.0,0.0,11,1.437,5.402,-8.77
56.0,0.0,12,0.0,5.849,-14.23
56.0,15.0,1,1.403,7.012,-14.99
56.0,15.0,2,2.42,6.0,-13.26
56.0,15.0,3,4.319,6.323,-6.49
56.0,15.0,4,6.411,5.119,2.2
56.0,15.0,5,7.533,4.94,10.38
56.0,15.0,6,7.418,3.49,15.65
56.0,15.0,7,7.63,3.783,18.92
56.0,15.0,8,6.046,3.911,15.89
56.0,15.0,9,4.094,4.09,10.35
56.0,15.0,10,2.634,5.386,1.5
56.0,15.0,11,1.639,5.924,-7.59
56.0,15.0,12,0.0,5.602,-11.15
56.0,30.0,1,1.421,6.865,-15.0
56.0,30.0,2,2.47,5.83,-13.07
56.0,30.0,3,4.382,5.585,-4.74
56.0,30.0,4,6.518,5.106,3.51
56.0,30.0,5,7.566,4.592,10.48
56.0,30.0,6,7.667,4.38,19.17
56.0,30.0,7,7.815,3.727,20.59
56.0,30.0,8,6.161,3.67,16.73
56.0,30.0,9,4.19,4.751,11.48
56.0,30.0,10,2.808,5.255,2.99
56.0,30.0,11,1.486,5.356,-5.38
56.0,30.0,12,0.044,5.778,-11.38
56.0,45.0,1,1.268,5.962,-14.04
56.0,45.0,2,2.264,6.372,-9.78
56.0,45.0,3,4.352,5.53,-2.59
56.0,45.0,4,6.876,5.136,4.07
56.0,45.0,5,7.673,4.789,13.52
56.0,45.0,6,7.507,4.177,21.41
56.0,45.0,7,7.813,4.093,21.1
56.0,45.0,8,6.163,3.822,19.03
56.0,45.0,9,4.471,3.986,12.89
56.0,45.0,10,2.659,5.238,4.24
56.0,45.0,11,1.557,5.371,-3.88
56.0,45.0,12,0.041,5.782,-11.92
56.0,60.0,1,1.151,6.479,-13.84
56.0,60.0,2,2.482,5.973,-9.23
56.0,60.0,3,4.381,5.858,-5.3
56.0,60.0,4,6.533,5.139,6.2
56.0,60.0,5,7.603,4.207,13.18
56.0,60.0,6,7.589,3.575,22.04
56.0,60.0,7,7.663,3.781,23.06
56.0,60.0,8,6.016,3.766,19.92
56.0,60.0,9,4.16,4.416,13.5
56.0,60.0,10,2.87,4.934,4.27
56.0,60.0,11,1.614,5.356,-3.96
56.0,60.0,12,0.14,6.346,-10.52
56.0,75.0,1,1.313,6.211,-12.6
56.0,75.0,2,2.438,5.704,-8.76
56.0,75.0,3,4.293,5.739,-3.08
56.0,75.0,4,6.389,5.106,7.24
56.0,75.0,5,7.563,5.175,16.67
56.0,75.0,6,7.641,4.02,23.66
56.0,75.0,7,7.582,3.932,22.86
56.0,75.0,8,6.108,3.968,21.32
56.0,75.0,9,4.224,4.236,14.01
56.0,75.0,10,2.924,5.247,5.15
56.0,75.0,11,1.433,5.877,-2.47
56.0,75.0,12,0.089,5.492,-8.87
56.0,90.0,1,1.395,6.051,-13.19
56.0,90.0,2,2.43,5.931,-9.38
56.0,90.0,3,4.187,5.715,-4.47
56.0,90.0,4,6.534,4.844,7.24
56.0,90.0,5,7.553,4.18,16.27
56.0,90.0,6,7.562,4.483,21.4
56.0,90.0,7,7.676,3.798,24.18
56.0,90.0,8,6.048,4.472,22.38
56.0,90.0,9,4.091,3.348,15.7
56.0,90.0,10,2.738,4.574,5.78
56.0,90.0,11,1.621,5.348,-3.45
56.0,90.0,12,0.0,5.416,-11.79
56.0,105.0,1,1.377,5.595,-14.98
56.0,105.0,2,2.351,5.985,-8.71
56.0,105.0,3,4.221,5.054,-2.53
56.0,105.0,4,6.633,5.139,3.84
56.0,105.0,5,7.672,4.138,13.21
56.0,105.0,6,7.554,4.005,20.35
56.0,105.0,7,7.711,3.818,23.89
56.0,105.0,8,6.172,3.864,20.41
56.0,105.0,9,4.216,4.542,16.3
56.0,105.0,10,2.86,4.944,8.29
56.0,105.0,11,1.549,4.96,-3.13
56.0,105.0,12,0.0,5.943,-10.96
56.0,120.0,1,1.241,6.141,-13.58
56.0,120.0,2,2.503,5.378,-11.53
56.0,120.0,3,4.424,4.648,-4.19
56.0,120.0,4,6.475,4.933,3.96
56.0,120.0,5,7.83,4.315,12.83
56.0,120.0,6,7.529,3.616,18.28
56.0,120.0,7,7.783,2.9,21.26
56.0,120.0,8,6.132,3.609,19.01
56.0,120.0,9,4.121,3.732,13.03
56.0,120.0,10,2.547,4.927,3.44
56.0,120.0,11,1.693,4.696,-4.18
56.0,120.0,12,0.0,5.675,-11.12
56.0,135.0,1,1.326,5.679,-15.56
56.0,135.0,2,2.45,5.227,-11.56
56.0,135.0,3,4.246,4.889,-8.9
56.0,135.0,4,6.449,4.614,1.22
56.0,135.0,5,7.714,4.082,8.43
56.0,135.0,6,7.41,3.155,17.36
56.0,135.0,7,7.785,3.563,18.85
56.0,135.0,8,6.194,3.066,16.62
56.0,135.0,9,3.973,4.004,10.1
56.0,135.0,10,2.67,4.459,2.87
56.0,135.0,11,1.375,5.186,-6.48
56.0,135.0,12,0.039,5.275,-10.5
56.0,150.0,1,1.253,5.552,-14.98
56.0,150.0,2,2.339,5.234,-14.76
56.0,150.0,3,4.159,4.732,-8.95
56.0,150.0,4,6.386,4.67,1.56
56.0,150.0,5,7.613,3.26,8.9
56.0,150.0,6,7.462,3.796,15.56
56.0,150.0,7,7.695,2.83,18.4
56.0,150.0,8,6.03,4.092,15.87
56.0,150.0,9,4.209,3.142,9.12
56.0,150.0,10,2.5,4.335,1.1
56.0,150.0,11,1.358,5.05,-7.15
56.0,150.0,12,0.113,5.843,-13.08
56.0,165.0,1,1.262,5.85,-15.92
56.0,165.0,2,2.282,5.461,-10.83
56.0,165.0,3,4.334,5.584,-7.22
56.0,165.0,4,6.607,4.868,-1.29
56.0,165.0,5,7.68,3.379,8.48
56.0,165.0,6,7.584,3.46,13.62
56.0,165.0,7,7.747,3.971,18.36
56.0,165.0,8,6.185,3.294,14.34
56.0,165.0,9,4.283,3.68,8.05
56.0,165.0,10,2.86,4.364,-0.22
56.0,165.0,11,1.301,5.606,-7.04
56.0,165.0,12,0.087,5.034,-12.18
58.0,-180.0,1,1.045,5.424,-19.76
58.0,-180.0,2,2.222,4.862,-16.43
58.0,-180.0,3,3.877,5.126,-11.67
58.0,-180.0,4,6.579,3.74,-0.39
58.0,-180.0,5,7.813,3.313,7.72
58.0,-180.0,6,7.463,3.644,14.13
58.0,-180.0,7,7.574,2.555,15.93
58.0,-180.0,8,6.026,3.457,14.17
58.0,-180.0,9,3.898,4.195,7.68
58.0,-180.0,10,2.649,4.782,-0.87
58.0,-180.0,11,1.327,4.985,-10.02
58.0,-180.0,12,0.0,5.022,-17.75
58.0,-165.0,1,0.982,5.968,-18.05
58.0,-165.0,2,2.124,5.694,-14.95
58.0,-165.0,3,4.007,4.828,-8.98
58.0,-165.0,4,6.49,3.947,-0.22
58.0,-165.0,5,7.662,3.75,9.5
58.0,-165.0,6,7.553,3.048,14.78
58.0,-165.0,7,7.793,3.045,15.18
58.0,-165.0,8,6.182,3.304,14.59
58.0,-165.0,9,4.012,3.818,7.8
58.0,-165.0,10,2.57,4.378,-1.59
58.0,-165.0,11,1.201,4.591,-11.16
58.0,-165.0,12,0.188,4.853,-15.57
58.0,-150.0,1,0.831,5.996,-17.55
58.0,-150.0,2,2.107,5.426,-13.73
58.0,-150.0,3,4.091,5.228,-9.78
58.0,-150.0,4,6.291,4.065,1.41
58.0,-150.0,5,7.664,3.746,9.9
58.0,-150.0,6,7.548,3.17,15.86
58.0,-150.0,7,7.924,2.984,19.59
58.0,-150.0,8,6.121,2.983,15.39
58.0,-150.0,9,4.082,4.124,7.84
58.0,-150.0,10,2.461,4.493,0.34
58.0,-150.0,11,1.308,5.151,-9.27
58.0,-150.0,12,0.014,5.243,-16.29
58.0,-135.0,1,1.182,5.715,-14.84
58.0,-135.0,2,1.987,5.614,-13.53
58.0,-135.0,3,4.122,5.041,-6.42
58.0,-135.0,4,6.323,3.699,1.49
58.0,-135.0,5,7.683,4.009,11.59
58.0,-135.0,6,7.339,4.13,18.86
58.0,-135.0,7,7.741,3.372,20.64
58.0,-135.0,8,6.297,3.482,17.19
58.0,-135.0,9,3.862,3.796,10.85
58.0,-135.0,10,2.653,4.52,3.9
58.0,-135.0,11,1.194,4.764,-4.72
58.0,-135.0,12,0.0,5.805,-15.8
58.0,-120.0,1,1.132,5.017,-13.33
58.0,-120.0,2,2.304,5.638,-13.12
58.0,-120.0,3,3.837,5.229,-4.72
58.0,-120.0,4,6.327,4.136,4.01
58.0,-120.0,5,7.573,3.205,12.46
58.0,-120.0,6,7.603,3.205,21.12
58.0,-120.0,7,7.773,3.418,22.22
58.0,-120.0,8,5.978,3.819,19.04
58.0,-120.0,9,3.95,3.87,14.95
58.0,-120.0,10,2.38,4.624,4.6
58.0,-120.0,11,1.326,4.725,-5.0
58.0,-120.0,12,0.0,4.904,-13.36
58.0,-105.0,1,0.985,5.65,-14.02
58.0,-105.0,2,1.968,6.002,-14.32
58.0,-105.0,3,4.024,4.921,-6.31
58.0,-105.0,4,6.154,4.33,5.45
58.0,-105.0,5,7.807,4.417,13.77
58.0,-105.0,6,7.53,3.766,21.66
